Name,Source,LinkedIn Profile,Status,LI Connection Sent,LI Connection Accepted,Loom Sent,Responded,Call Booked,Audit Call,Free or Paid,Need to Follow Up Date,Last Contact Date,Email,Company,Title,Notes,Meetings,"Action Items ",Projects
Steven Zimmer,LI Content Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Richard WIlliams,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Phil Williams,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Abigail Howard,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Thomas Campbell,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Ed Starrs,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Rich Frogge,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Chris Boggiano,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rich Font,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Justin Warf,LI Content Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Unknown (3),LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Unknown,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Unknown (1),LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Unknown (2),LI Loom Outreach,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Gary Slyman,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
David Greenberg,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,
Michael Daily,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Rodney Hatley,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Grant Vermeer,Networking/Podcast,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,Yes,,"March 30, 2026",,,,,,,,Client Onboarding (https://www.notion.so/Client-Onboarding-30271d52651c814ca4edf373bcfa8a34?pvs=21)
Tucker Kimbrough,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mike Grewe,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Matthew May,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,"February 9, 2026",,,,,,,,Unknown (https://www.notion.so/Unknown-30271d52651c81068bb3f44416db0f04?pvs=21)
Ryan Martin,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
David Priddy,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jeremy Smith,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,
Joshua Awad,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Donald Pearson,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Brett Hadley,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Eric Lobdell,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Nate Lamb,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Greg Martin,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Caleb Mancuso,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Jake Parnell,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jim Schueren,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Scott Church,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Segal,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ricky Waters,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Tan Anderson,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mario Cortizo,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Lee Crewson,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Don Grier,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Dave Lam,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Jeff Tegman,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Matthew Neyland,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Gabe Smith,LI Loom Outreach/10X Vets,,Proposal Sent,Yes,Yes,Yes,Yes,Yes,Yes,Paid,"February 16, 2026",,,,,,,,Untitled Project (https://www.notion.so/Untitled-Project-30271d52651c812aadccfa829eb5934f?pvs=21)
Jason McClain,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Michael Bristol,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Cristin Browne,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bradley Brueggemann,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Annette Warren,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Dev Chandra,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jeff Servello,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Kyle Spinks,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Chad Robbins,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Max Sivohins,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Vince Lindenmeyer,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jeff Falcone,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Kenneth Engle,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Curtis Cullen,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
JR Ewing,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Dom Strada,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Omar Messallam,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
James Wilson,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bill Daggett,LI Loom Outreach/10X Vets,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Archie,LI Loom Outreach/10X Vets,,Project Started,Yes,Yes,Yes,Yes,Yes,Yes,Paid,,,,,,,,,LI Content Engine (https://www.notion.so/LI-Content-Engine-30271d52651c81d786efd6b68a23f1b8?pvs=21)
Richard Murg,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ryan Kalnins,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Susan Hunter,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Aaron Saari,LI Loom Outreach/10X Vets,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
William Devoney,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Maurice Goin,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Lorie Blount,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Harold Poston,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Norm Cooling,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Steven Watkins,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Wade Patton,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Rodlin Doyle,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Josh Martin,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Josh Taffer,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bob St. Germain,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Dan Baxter,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mike Igoe,LI Loom Outreach/10X Vets,,Proposal Sent,Yes,Yes,Yes,Yes,Yes,Yes,Paid,"February 16, 2026",,,,,,,,Client Onboarding (https://www.notion.so/Client-Onboarding-30271d52651c811f8bb2c44673e7b14c?pvs=21)
Jerry Pilewski,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Michael Bisbee,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jacobo Laya,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Brock Hennigh,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Anthony Lawson,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jimmy Kim,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Paa Coleman,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jason Tolbert,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Peter James,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mike Allen,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Walt Cueto,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
Glen Martin,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,"February 27, 2026",,,,,,,,
Mark Mccord,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Sean Zernickow,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jake Bennett,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Cruz Quick,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Pete Carruth,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Greg Willis,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Josiah Davis,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Marshall Sykes,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Justin Franklin,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Dustin Whitehead,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jared Hogan,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Erik Doebel,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Benjamin Butterworth,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mayson Madden,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Kyle Roeter,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jeremiah Hardy,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Geoff Barker,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,"February 16, 2026",,,,,,,,
Pete Torres,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Zeric Butters,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Maynard Lee,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Michael Kramer,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Douglas Lapsley,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jimmy Pearson,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
April Martini,LI Loom Outreach/10X Vets,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
DJ Plumer,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Luke Larocca,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Juan Delgado,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Ryan Wedemeyer,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Christian Cali,LI Loom Outreach/10X Vets,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Jason Procaccino,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Robert Jordan,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jed Morris,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mitchell Weller,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Victor Ramayrat,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Matt Brooks,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Steve Tchoupe,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Pete Vasilarakis,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Bryan Denson,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Justin McCarty,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Robert Lozano,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Chris Hadsall,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jamaal Lofton,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Phu Do,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Greg Nagel,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,No,Yes,No,No,,"February 9, 2026",,,,,,,,
Tim Murphy,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Matt Hughes,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Pablo Gonzalez,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Tom Fournier,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Austin Odle,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Rob Mastriano,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Ghazi Albanna,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Daniel Lupacchino,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Darin Newbold,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Yoanny Jose,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Al Moreau,LI Loom Outreach/10X Vets,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Emilio L Vallejos,LI Loom Outreach/10X Vets,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Bobby Aborn,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Lionel A Saulsberry,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Nancy Delgadillo,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Cale Queen,LI Loom Outreach,,Follow-Up Sequence,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Nate Faygenholtz,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Princeton Baker,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Peter Morrissey,LI Loom Outreach/10X Vets,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Robert Brodnick,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Brandy Seyller,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Michael Kanaby,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Richard Breeding,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Lance Linden,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Luke Sanders,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mick Trainor,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Lupei Chou,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,
April Tully,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Benny Kinsey,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Matt Myllykangas,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bob Dixon,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Adam Smith,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Jonathan Mcdonald,LI Loom Outreach/10X Vets,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Omar Ritter,LI Loom Outreach/10X Vets,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Steve Pimpo,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Patricia Romboletti,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Justin Ossola,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Stephanie Vaughan,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Brady Beaucamp,Referral,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,Free,"February 9, 2026",,,,,,,,
Leif Babin,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Amy Rannebarger,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Bryce Dabbs,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Wesley Brown,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Morri Leland,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Harry Stoever,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Mark Klett,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
April Holle,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Charlie Sells,Networking/Podcast,,Meeting Scheduled,Yes,Yes,No,Yes,Yes,No,,"February 11, 2026",,,,,,,,
Doug Poretz,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Rafael Spears,LI Loom Outreach,,Declined,Yes,No,Yes,Yes,No,No,,,,,,,,,,
Tony Violante,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kevin Gilman,Networking/Podcast,,Declined,Yes,Yes,No,No,No,No,,,,,,,,,,
Andrew Harshey,Networking/Podcast,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Dan Jurta,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Tom Druggan,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
"David Guti ",LI Loom Outreach/10X Vets,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Ingar Grev,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Dan Madden,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Wes Blackwell,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Robert Brinzer,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Bradley Seidel,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Peter Joukov,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
John Aselton,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jesse Hanger,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Yale Eckert,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Shane Terry,LI Loom Outreach/10X Vets,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
John Miles,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Joseph Achenbach,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
John Vick,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Mike Krueger,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Bob Fritz,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Justin Braune,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Eric Whitman,LI Loom Outreach,,Responded,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Reggie Walker,Referral,,Meeting Held,No,No,No,Yes,Yes,No,,,,,,,,,,
Aby Varma,Referral,,Meeting Scheduled,No,No,No,Yes,Yes,No,,,,,,,,,,
Frank Bijak,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Robert Fishman,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Robert Mucka,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Ben Frost,LI Loom Outreach,,Declined,Yes,Yes,No,Yes,No,No,,,,,,,,,,
Parker Danz,Referral,,Meeting Scheduled,No,No,No,Yes,Yes,No,,"February 9, 2026",,,,,,,,
Tyler Baker,LI Loom Outreach,,Declined,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,
Jaren Woeppel,LI Loom Outreach,,Declined,Yes,Yes,Yes,No,No,No,,,,,,,,,,
Kent Hepler,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Jason Walker,LI Loom Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Mark Mooney,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Ernie Petzrick,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Allan Camaisa,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Will Burkhart,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Tom Sedlack,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mark Gregory,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Matthew Gallery,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Bob Melberth,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Mark Petroff,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Todd Baskett,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Brent Baxter,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Mike Guadagnini,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Alan Lerchbacker,LI Loom Outreach,,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
John O'Donnell,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
David Viger,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
Carl Willis,LI Loom Outreach,,Connection Requested,No,No,No,No,No,No,,,,,,,,,,
Bill James,LI Loom Outreach,,Meeting Held,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,
Ed Dille,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
John Osth,LI Loom Outreach,,Connection Requested,Yes,No,No,No,No,No,,,,,,,,,,
